question,answer
使用注册商标必须标明注册标记。,错
已经注册的商标需要在核定使用范围以外的商品上取得专用权的，可以变更核定使用范围。,错
商标实行分类注册，不同类别的商品应当分别注册，相同类别的商品，商标不同，也需要分别注册。,对
“一表多类”是指同一个商标需要在多个类别注册，只需提交一份申请材料。,对
转让注册商标和变更注册人名义都需要向商标局提出变更申请。,对
商标续展应在有效期满的前六个月或在期满后的十二个月内办理。,错
禁止使用同“红新月”、“红十字”的名称、标志相同或近似的商标，但相关组织同意的除外。,错
交通标志不得作为商标使用。,对
将注册商标的主体部分作为注册商标使用不应视为冒充注册商标的行为。,错
注册商标连续三年不使用的，商标局将依申请撤销该注册商标。,错
经许可使用他人注册商标的，应当标注被许可人的名称和商品产地。,对
驰名商标一定是注册商标，不能是未注册商标。,错
驰名商标是为相关公众所熟知的商标，相关公众是指所有消费者。,错
商标就是在生产经营活动中使用的，用于识别商品或者服务来源的标志。,对
两个以上的自然人可共同申请注册同一商标，共享该商标专用权。,对
药品是必须使用注册商标的商品,对
经外国政府同意，与该国国家名称、国旗相同或者近似的标志可作为商标使用；经我国国务院批准，我国中央国家机关的名称、标志也可作为商标使用。,对
凡未在中国注册的商标，都不能作为驰名商标进行保护,对
商标注册申请人或注册人发现商标申请文件或者注册文件有明显错误的，只要不涉及相关文件的实质性内容，就可申请更正。商标局应当依法在其职权范围内予以更正并通知当事人,对
对带有欺骗性易使公众对商品产地产生误认的注册商标，任何人都可请求商标评审委员会宣告该注册商标无效，且不受时间限制,错
商标局作出的撤销注册商标决定属具体行政行为，一经依法作出即生效，该注册商标专用权即告终止。,错
商标评审委员会在审查注册商标无效宣告请求过程中，若所涉及的在先权利必须以法院正在审理的另一案件的结果为确定依据的，可以中止审查。,对
对侵犯注册商标专用权的行为，工商行政管理部门只能应商标注册人或者利害关系人的请求才能进行处理，而不能主动介入查处。,错
各级工商行政管理部门负责商标注册和管理工作。,错
商标使用人应当对其使用商标的商品质量负责。各级工商行政管理部门应当通过商标管理，制止欺骗消费者的行为。,对
商标法有关商品商标的规定，适用于服务商标。,对
任何能够将自然人、法人或者其他组织的商品与他人的商品区别开的可视性标志，包括文字、图形、字母、数字、三维标志和颜色组合，以及上述要素的组合，均可以作为商标申请注册。,对
仅仅直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点的标志不得作为商标注册，但是，如果这些标志经过使用取得显著特征，并便于识别的话，则可以作为商标注册。,对
就相同或者类似商品申请注册的商标是复制、摹仿或者翻译他人未在中国注册的驰名商标，容易导致混淆的，不予注册并禁止使用。,对
对初步审定的商标，自公告之日起三个月内，任何人均可以提出异议。公告期满无异议的，予以核准注册，发给商标注册证，并予公告。,对
两个或者两个以上的商标注册申请人，在同一种商品或者类似商品上，以相同或者近似的商标申请注册的，初步审定并公告申请在先的商标；同一天申请的，初步审定并公告使用在先的商标，驳回其他人的申请，不予公告。,对
对驳回申请、不予公告的商标，商标局应当书面通知商标注册申请人。商标注册申请人不服的，可以自收到通知之日起十五日内向人民法院起诉。,错
注册商标的有效期为十年，自该商标注册申请之日起计算。,错
由于商标专用权属于民事权利，因此，转让注册商标只要当事人双方签订协议即可。,错
商标注册人可以通过签订商标使用许可合同，许可他人使用其注册商标。商标使用许可合同应当报商标局备案，未备案的，合同无效。,错
未经商标注册人同意，更换其注册商标并将该更换商标的商品又投入市场的行为是一种侵犯商标专用权的行为。,对
销售不知道是侵犯注册商标专用权的商品，能证明该商品是自己合法取得的并说明提供者的，不承担赔偿责任。,对
外国人或者外国企业在中国申请商标注册和办理其他商标事宜的，应当委托国家工商行政管理总局商标局指定的涉外商标代理资格的组织代理。,错
经许可使用他人注册商标的，必须在使用该注册商标的商品上标明被许可人的名称和商品产地。,对
地理标志，可以作为证明商标或者集体商标申请注册。,对
商标注册的申请日期，以商标局收到申请文件的日期为准。申请手续齐备并按照规定填写申请文件的，商标局予以受理并书面通知申请人；申请手续不齐备或者未按照规定填写申请文件的，商标局不予受理，书面通知申请人并说明理由。,对
注册商标中含有的本商品的通用名称、图形、型号、或者直接表示商品的质量、主要原料、功能、用途、重量、数量及其他特点，或者含有地名，注册商标专用权人无权禁止他人正当使用。,对
自然人、法人或者其他组织对其提供的商品，需要取得服务商标专用权的，应当向商标局申请服务商标注册。,对
县级以上行政区划的地名或者公众知晓的外国地名，不得作为商标。,错
经许可使用他人注册商标的，无需在使用该注册商标的商品上标明被许可人的名称和商品产地。,错
未经商标注册人许可，在同一种商品上使用与其注册商标相同的商标，构成犯罪的，除赔偿被侵权人的损失外，无需追究刑事责任。,错
任何能将自然人、法人、或者其他组织的商品与他人的商品区别开的可视性标志，包括文字、图形、字母、数字、三维标志和颜色组合，以及上述要素的组合，均可以作为商标申请注册。,对
注册商标中含有的本商品的通用名称、图形、型号，或者直接表示商品的质量、主要原料、功能、用途、重量、数量以及其他特点，或者含有地名，注册商标专用权人有权禁止他人正当用。,错
工商行政管理机关认定商标侵权行为成立的，责令立即停止侵权行为，没收、销毁侵权商品和所有用于生产的工具，并可以处以罚款。,错
注册商标变更注册人名义及转让、许可无需到商标局办理相关手续。,错
故意为侵犯他人注册商标专用权行为提供仓储、运输、邮寄、隐匿等便利条件的，不属于侵犯商标专用权行为。,错
同外国的国家名称、国旗、国徽、军旗相同或者近似的标志，无论该国政府是否同意，均不得作为商标申请注册。,错
由商品自身的性质产生的形状或者使商品具有实质性价值的形状，均可作为三维标志申请商标注册。,错
注册商标需要在同一类的其他商品上使用的，应当到商标局备案。,错
注册商标需要变更注册人的名义、地址或者其他注册事项的，应当提出变更申请。,对
转让注册商标的，转让人和受让人只须签订转让协议，无须向商标局提出申请。,错
对商标局撤销注册商标的决定，当事人不服的，可以自收到通知之日起十五日内向商标评审委员会申请复审由商标评审委员会作出终局决定，并书面通知申请人。,错
为制止侵权行为，在证据可能灭失或者以后难以取得的情况下，商标注册人或者利害关系人可以在起诉前向人民法院申请保全证据。,对
申请商标评审，应当向商标评审委员会提交申请书，并按照对方当事人的数量提交相应份数的副本；基于商标局的决定书或者裁定书申请复审的，还应当同时附送商标局的决定书或者裁定书副本。,对
申请人撤回商标评审申请的，不得以相同的事实和理由再次提出评审申请；商标评审委员会对商标评审申请已经作出裁定或者决定的，任何人不得以相同的事实和理由再次提出评审申请。,对
依照商标法第四十一条的规定撤销的注册商标，其商标专用权自商标局的撤销决定作出之日起终止。,错
使用注册商标，必须在商品、商品包装、说明书或者其他附着物上标明“注册商标”或者“注”或“?”标记。,错
以地理标志作为证明商标注册的，其商品符合使用该地理标志条件的自然人、法人或者其他组织可以要求使用该证明商标，控制该证明商标的组织应当允许。,对
地理标志，是指标示某商品来源于某地区，该商品的特定质量、信誉或者其他特征，主要由该地区的自然因素或者人文因素所决定的标志。,对
对侵犯注册商标专用权的行为，任何人可以向县级以上工商行政管理部门投诉或者举报。,错
对侵犯注册商标专用权的行为，罚款数额为违法所得额3倍以下；违法所得额无法计算的，罚款数额为10万元以下。,错
商标的使用，包括将商标用于商品、商品包装或者容器以及商品交易文书上，或者将商标用于广告宣传、展览以及其他商业活动中。,对
商标评审委员会审理商标争议案件实行书面审理，但依据实施条例第三十三条规定决定公开评审的情形除外。,对
