question,answer
下列商标中属于服务商标的有（）A、嘉陵摩托 B、洁诚洗染店?C、伊利牛奶 D、可口可乐,B
商标专用权的取得是在（）A、申请商标注册之后 B、初步审定之后?C、公告之后 D、核准注册之后,D
下列选项中可以申请注册为商标的有（）A、“美丽”牌假发 B、“雪白”牌漂白剂C、“重庆”牌手机 D、“长寿”牌汤圆,D
商标法规定必须使用注册商标的商品有（）A、人用药和奢侈品 B、麻醉药品和贵重金属制品C、烟草制品与酒类商品 D、人用药品与烟草制品,D
"注册商标需要改变文字、图形的，（）提出注册申请。
A、应当另行   B、应当重新C、免于   D、不必",B
"商标转让合同自（ ）生效
A、转让合同签订之日
B、商标注册证交付买受人之日
C、商标局登记之日
D、商标局公告之日",A
"商标许可合同自（）生效
A、许可合同签订之日 
B、商标注册登记证书交付被许可人之日
C、商标局登记之日
D、商标局公告之日",A
"注册商标权人因违法使用该注册商标，被商标局撤销，下列说法中正确的是（ ）
A、撤销具有溯及力，该注册自始无效
B、撤销具有溯及力，但对法院作出并已经执行的商标侵权案件的判决、裁定不具有溯及力
C、撤销具有溯及力，但对已经履行的商标转让行为不具有溯及力
D、撤销不具有溯及力，商标权从撤销之日起消灭",D
"注册商标续展的宽限期为（）
A、2年   B、1年C、6个月    D、3个月",C
"注册商标的有效期是（），自核准注册之日起计算。
A、5年 B、10年 C、15年 D、20年",B
"恶意抢注他人驰名商标的，驰名商标所有人可以在（）请求撤销该注册商标。
A、1年    B、3年   C、5年   D、不受时间限制",D
"商标侵权赔偿诉讼中，被侵权人的损失和侵权人获得的利益难以确定时，人民法院可以根据侵权行为的情节判定给予（ ）以下的赔偿
A、10万元   B、20万元C、50万元    D、100万元",C
"商标权人向人民法院申请诉前证据保全措施，人民法院接受申请后，必须在（ ）内作出裁定。
A、12小时     B、24小时C、48小时    D、7天",C
"某内衣专卖店注册的“活得好”商标属于哪一类商标？
A.服务商标
B.证明商标
C.销售商标
D.制造商标",C
"甲国国民在我国进行商标注册时要求优先权，必须符合哪一条件？
A。甲国为《保护工业产权巴黎公约》的成员国
B。甲国为《商标国际注册马德里协定》的成员国
C。甲国为《商标注册用商品与服务分类尼斯协定》的成员国
D。甲国为《保护工业产权巴黎公约》、《商标国际注册马德里协定》和《商标注册用商品与服务分类尼斯协定》的成员国",A
"商标在中国政府主办的或者承认的国际展览会上展出的商品上首次使用的，该商标的注册申请人享有优先权的时间要求是( )。 
A 6个月内 
B 3个月内 
C 10个月内 
D 12个月内 ",A
"甲、乙两公司签订注册商标使用许可合同，规定甲公司许可乙公司使用其注册商标，该合同须经下列哪项程序,( ) 
A 经商标局核准 
B 经商标评审委员会核准 
C 经甲公司所在地县级以上工商局核准 
D 报商标局备案 ",D
"使用注册商标，其商品粗制烂造，以次冲好，欺骗消费者，由什么机关来管理,( ) 
A 产品质量监督局 
B 工商行政管理局 
C 公安机关 
D 商标局",B
